<strong>ID</strong><strong>	ORF</strong><strong>	RANGE_GB</strong><strong>	GeneSymbol</strong><strong>	GeneType</strong><strong>	RANGE_START</strong><strong>	RANGE_END</strong><strong>	RANGE_STRAND</strong>
158	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01050[gene]">BSU01050</a>	AL009126.3	rplL		120607	120978	1
159	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01060[gene]">BSU01060</a>	AL009126.3	ybxB		121068	121673	1
160	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S51	5'UTR	121686	121918	1
161	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01070[gene]">BSU01070</a>	AL009126.3	rpoB		121919	125500	1
162	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01080[gene]">BSU01080</a>	AL009126.3	rpoC		125562	129161	1
163	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S52	Inter	129162	129283	1
164	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01090[gene]">BSU01090</a>	AL009126.3	rplGB		129340	129588	1
165	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S53	Intra	129589	129701	1
166	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01100[gene]">BSU01100</a>	AL009126.3	rpsL		129702	130118	1
167	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01110[gene]">BSU01110</a>	AL009126.3	rpsG		130160	130630	1
168	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01120[gene]">BSU01120</a>	AL009126.3	fusA		130684	132762	1
169	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S54	Intra	132763	132881	1
170	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01130[gene]">BSU01130</a>	AL009126.3	tufA		132882	134072	1
171	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01140[gene]">BSU01140</a>	AL009126.3	ybaC		134171	135127	1
172	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S55	5'UTR	135170	135363	1
173	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01150[gene]">BSU01150</a>	AL009126.3	rpsJ		135364	135672	1
174	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01160[gene]">BSU01160</a>	AL009126.3	rplC		135712	136341	1
175	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01170[gene]">BSU01170</a>	AL009126.3	rplD		136369	136992	1
176	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01180[gene]">BSU01180</a>	AL009126.3	rplW		136992	137279	1
177	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01190[gene]">BSU01190</a>	AL009126.3	rplB		137311	138144	1
178	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01200[gene]">BSU01200</a>	AL009126.3	rpsS		138202	138480	1
179	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01210[gene]">BSU01210</a>	AL009126.3	rplV		138497	138838	1
180	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01220[gene]">BSU01220</a>	AL009126.3	rpsC		138842	139498	1
181	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01230[gene]">BSU01230</a>	AL009126.3	rplP		139500	139934	1
182	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01240[gene]">BSU01240</a>	AL009126.3	rpmC		139924	140124	1
183	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01250[gene]">BSU01250</a>	AL009126.3	rpsQ		140147	140410	1
184	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01260[gene]">BSU01260</a>	AL009126.3	rplNA		140451	140819	1
185	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01270[gene]">BSU01270</a>	AL009126.3	rplX		140857	141168	1
186	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01280[gene]">BSU01280</a>	AL009126.3	rplE		141195	141734	1
187	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01290[gene]">BSU01290</a>	AL009126.3	rpsNA		141757	141942	1
188	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01300[gene]">BSU01300</a>	AL009126.3	rpsH		141974	142372	1
189	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01310[gene]">BSU01310</a>	AL009126.3	rplF		142402	142941	1
190	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01320[gene]">BSU01320</a>	AL009126.3	rplR		142974	143336	1
191	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01330[gene]">BSU01330</a>	AL009126.3	rpsE		143361	143861	1
192	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01340[gene]">BSU01340</a>	AL009126.3	rpmD		143875	144054	1
193	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01350[gene]">BSU01350</a>	AL009126.3	rplO		144085	144525	1
194	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01360[gene]">BSU01360</a>	AL009126.3	secY		144527	145822	1
195	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01370[gene]">BSU01370</a>	AL009126.3	adk		145877	146530	1
196	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01380[gene]">BSU01380</a>	AL009126.3	mapA		146527	147273	1
197	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01389[gene]">BSU01389</a>	AL009126.3	ybzG		147312	147536	1
198	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01390[gene]">BSU01390</a>	AL009126.3	infA		147585	147803	1
199	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01400[gene]">BSU01400</a>	AL009126.3	rpmJ		147837	147950	1
200	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01410[gene]">BSU01410</a>	AL009126.3	rpsM		147973	148338	1
201	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01420[gene]">BSU01420</a>	AL009126.3	rpsK		148359	148754	1
202	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=[gene]"></a>	AL009126.3	S56	Intra	148755	148930	1
203	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01430[gene]">BSU01430</a>	AL009126.3	rpoA		148931	149875	1
204	<a href="http://www.ncbi.nlm.nih.gov/gene/?term=BSU01440[gene]">BSU01440</a>	AL009126.3	rplQ		149953	150315	1
